school,Total,Male,Female,AM,AS,BL,HI,PI,WH,MU,ESOL,FARMS,special_ed,Level,Year,X,EML
Takoma Park ES,587,49.7,50.3,≤5.0,5.1,32.2,18.4,≤5.0,38.2,6.0,29.5,38.0,5.3,Elementary School,2012-2013,,
Travilah ES,429,51.7,48.3,≤5.0,41.7,5.4,≤5.0,≤5.0,43.4,5.8,13.8,5.1,5.6,Elementary School,2012-2013,,
Twinbrook ES,551,55.4,44.6,≤5.0,15.8,11.3,58.4,≤5.0,10.7,≤5.0,48.8,65.2,8.9,Elementary School,2012-2013,,
Viers Mill ES,646,50.8,49.2,≤5.0,8.2,12.1,63.5,≤5.0,13.3,≤5.0,48.5,71.1,19.0,Elementary School,2012-2013,,
Washington Grove ES,383,57.4,42.6,≤5.0,9.9,18.0,56.9,≤5.0,10.4,≤5.0,52.7,73.4,17.5,Elementary School,2012-2013,,
Waters Landing ES,669,52.6,47.4,≤5.0,11.1,30.9,28.1,≤5.0,23.8,5.5,25.9,44.7,10.6,Elementary School,2012-2013,,
Watkins Mill ES,648,51.9,48.1,≤5.0,11.0,34.9,41.7,≤5.0,7.7,≤5.0,36.9,66.2,10.3,Elementary School,2012-2013,,
Wayside ES,535,46.9,53.1,≤5.0,30.5,5.8,≤5.0,≤5.0,52.5,6.2,9.2,≤5.0,7.9,Elementary School,2012-2013,,
Weller Road ES,604,52.5,47.5,≤5.0,8.9,12.4,73.3,≤5.0,≤5.0,≤5.0,60.3,79.8,7.1,Elementary School,2012-2013,,
Westbrook ES,435,51.0,49.0,≤5.0,≤5.0,≤5.0,7.6,≤5.0,81.4,6.9,5.3,≤5.0,8.5,Elementary School,2012-2013,,
Westover ES,321,59.5,40.5,≤5.0,15.3,32.1,19.9,≤5.0,27.1,≤5.0,11.2,24.0,23.7,Elementary School,2012-2013,,
Wheaton Woods ES,471,53.7,46.3,≤5.0,7.2,27.0,58.2,≤5.0,6.2,≤5.0,53.7,81.1,5.5,Elementary School,2012-2013,,
Whetstone ES,708,55.2,44.8,≤5.0,8.3,27.3,47.2,≤5.0,14.1,≤5.0,36.0,62.6,18.8,Elementary School,2012-2013,,
Wood Acres ES,767,52.7,47.3,≤5.0,10.0,≤5.0,7.8,≤5.0,73.4,5.7,6.6,≤5.0,6.4,Elementary School,2012-2013,,
Woodfield ES,325,53.2,46.8,≤5.0,≤5.0,8.6,16.0,≤5.0,66.2,≤5.0,6.5,18.8,10.8,Elementary School,2012-2013,,
Woodlin ES,562,52.7,47.3,≤5.0,6.8,27.6,17.4,≤5.0,42.5,5.3,11.7,22.6,13.3,Elementary School,2012-2013,,
Wyngate ES,709,50.5,49.5,≤5.0,7.6,≤5.0,8.9,≤5.0,72.5,7.5,8.5,≤5.0,6.5,Elementary School,2012-2013,,
Argyle MS,795,55.7,44.3,≤5.0,10.7,37.7,39.4,≤5.0,9.4,≤5.0,14.5,56.6,9.3,Middle School,2012-2013,,
John T. Baker MS,794,49.0,51.0,≤5.0,≤5.0,9.1,16.4,≤5.0,64.9,≤5.0,≤5.0,17.8,11.5,Middle School,2012-2013,,
Benjamin Banneker MS,769,48.9,51.1,≤5.0,10.8,61.0,14.4,≤5.0,7.9,5.6,≤5.0,45.9,10.0,Middle School,2012-2013,,
Briggs Chaney MS,875,51.5,48.5,≤5.0,13.7,49.4,19.9,≤5.0,12.2,≤5.0,7.0,44.2,11.1,Middle School,2012-2013,,
Cabin John MS,923,52.8,47.2,≤5.0,26.4,10.0,9.0,≤5.0,51.8,≤5.0,≤5.0,7.2,14.7,Middle School,2012-2013,,
Roberto W. Clemente MS,1157,51.3,48.7,≤5.0,25.2,27.2,22.5,≤5.0,19.8,≤5.0,≤5.0,34.9,12.6,Middle School,2012-2013,,
Eastern MS,877,43.1,56.9,≤5.0,14.3,20.4,37.3,≤5.0,22.6,5.5,12.2,46.6,8.6,Middle School,2012-2013,,
William H. Farquhar MS,638,50.9,49.1,≤5.0,13.5,20.4,11.6,≤5.0,49.2,5.3,≤5.0,12.4,12.2,Middle School,2012-2013,,
Forest Oak MS,771,50.6,49.4,≤5.0,9.6,25.8,44.6,≤5.0,15.3,≤5.0,17.3,53.3,14.4,Middle School,2012-2013,,
Robert Frost MS,1139,50.0,50.0,≤5.0,36.7,5.7,6.7,≤5.0,46.5,≤5.0,≤5.0,5.4,6.9,Middle School,2012-2013,,
Gaithersburg MS,682,50.1,49.9,≤5.0,8.7,23.5,35.3,≤5.0,27.3,5.1,11.9,42.7,17.0,Middle School,2012-2013,,
Herbert Hoover MS,999,53.2,46.8,≤5.0,24.6,7.2,7.0,≤5.0,55.2,5.9,≤5.0,≤5.0,8.5,Middle School,2012-2013,,
Francis Scott Key MS,867,49.5,50.5,≤5.0,11.0,47.3,34.6,≤5.0,5.5,≤5.0,14.9,63.1,11.9,Middle School,2012-2013,,
"Dr. Martin Luther King, Jr.  MS",595,46.4,53.6,≤5.0,12.1,29.9,27.1,≤5.0,23.5,6.9,7.1,40.2,9.4,Middle School,2012-2013,,
Kingsview MS,949,51.4,48.6,≤5.0,25.2,22.7,12.2,≤5.0,34.1,5.7,≤5.0,20.0,7.9,Middle School,2012-2013,,
Lakelands Park MS,980,51.9,48.1,≤5.0,12.3,14.9,18.9,≤5.0,49.2,≤5.0,5.2,22.4,14.6,Middle School,2012-2013,,
Col. E. Brooke Lee MS,598,53.5,46.5,≤5.0,8.0,32.6,51.7,≤5.0,5.7,≤5.0,21.2,64.5,13.9,Middle School,2012-2013,,
A. Mario Loiederman MS,808,42.1,57.9,≤5.0,6.8,26.0,49.4,≤5.0,13.7,≤5.0,14.0,55.8,13.1,Middle School,2012-2013,,
Montgomery Village MS,600,53.2,46.8,≤5.0,8.5,34.8,40.2,≤5.0,11.0,5.5,15.7,59.7,13.5,Middle School,2012-2013,,
Neelsville MS,825,51.8,48.2,≤5.0,10.7,33.6,40.2,≤5.0,10.3,≤5.0,14.5,56.6,9.2,Middle School,2012-2013,,
Newport Mill MS,575,48.2,51.8,≤5.0,12.3,19.0,44.9,≤5.0,20.5,≤5.0,12.7,52.0,17.7,Middle School,2012-2013,,
North Bethesda MS,819,48.6,51.4,≤5.0,9.8,7.2,13.6,≤5.0,61.7,7.4,≤5.0,≤5.0,10.3,Middle School,2012-2013,,
Parkland MS,872,53.8,46.2,≤5.0,17.5,24.2,43.2,≤5.0,12.2,≤5.0,10.4,46.8,9.5,Middle School,2012-2013,,
Rosa M. Parks MS,871,52.2,47.8,≤5.0,9.2,11.7,12.6,≤5.0,62.8,≤5.0,≤5.0,11.7,10.0,Middle School,2012-2013,,
John Poole MS,351,49.9,50.1,≤5.0,≤5.0,5.4,12.8,≤5.0,71.8,5.4,≤5.0,14.5,10.0,Middle School,2012-2013,,
Thomas W. Pyle MS,1370,48.9,51.1,≤5.0,11.2,≤5.0,8.1,≤5.0,72.1,5.7,≤5.0,≤5.0,7.7,Middle School,2012-2013,,
Redland MS,534,49.1,50.9,≤5.0,13.7,17.0,33.7,≤5.0,30.3,5.2,9.7,39.5,11.8,Middle School,2012-2013,,
Ridgeview MS,685,49.5,50.5,≤5.0,15.3,13.9,22.2,≤5.0,43.6,≤5.0,5.5,24.5,6.1,Middle School,2012-2013,,
Rocky Hill MS,998,47.6,52.4,≤5.0,24.3,21.0,15.2,≤5.0,34.9,≤5.0,≤5.0,19.0,8.1,Middle School,2012-2013,,
Shady Grove MS,551,54.8,45.2,≤5.0,16.7,20.5,31.2,≤5.0,26.7,≤5.0,7.1,33.9,12.3,Middle School,2012-2013,,
Silver Spring International MS,916,50.3,49.7,≤5.0,6.1,24.9,37.1,≤5.0,27.3,≤5.0,14.3,43.7,11.6,Middle School,2012-2013,,
Sligo MS,411,43.6,56.4,≤5.0,8.5,22.9,42.8,≤5.0,22.1,≤5.0,12.9,47.9,13.9,Middle School,2012-2013,,
Takoma Park MS,918,55.1,44.9,≤5.0,19.6,27.7,15.1,≤5.0,31.0,6.3,6.9,26.1,6.1,Middle School,2012-2013,,
Tilden MS,772,54.7,45.3,≤5.0,15.7,9.8,16.7,≤5.0,53.6,≤5.0,10.9,12.8,14.6,Middle School,2012-2013,,
Julius West MS,1118,49.4,50.6,≤5.0,20.7,17.4,25.8,≤5.0,30.1,5.7,12.3,29.0,8.3,Middle School,2012-2013,,
Westland MS,1197,50.7,49.3,≤5.0,5.5,12.0,15.3,≤5.0,61.2,5.5,≤5.0,10.7,9.1,Middle School,2012-2013,,
White Oak MS,706,54.0,46.0,≤5.0,10.1,35.8,38.1,≤5.0,12.6,≤5.0,16.9,58.1,11.8,Middle School,2012-2013,,
Earle B. Wood MS,922,54.6,45.4,≤5.0,11.1,15.7,35.5,≤5.0,33.3,≤5.0,8.4,35.9,14.5,Middle School,2012-2013,,
Bethesda-Chevy Chase HS,1835,50.4,49.6,≤5.0,6.3,15.4,15.9,≤5.0,57.6,≤5.0,5.1,11.0,9.3,High School,2012-2013,,
