School Name,Total,Male,Female,AM,AS,BL,HI,PI,WH,MU,ESOL,FARMS,SPED
Wayside ES,524,52.9,47.1,≤5.0,38.9,6.9,6.5,≤5.0,42,5.7,11.5,6.3,9.2
Weller Road ES,709,49.5,50.5,≤5.0,9.4,9.6,74.6,≤5.0,≤5.0,≤5.0,44.7,75.5,10
Westbrook ES,437,52.6,47.4,≤5.0,≤5.0,≤5.0,9.6,≤5.0,75.7,7.1,8.9,≤5.0,13.5
Westover ES,305,55.7,44.3,≤5.0,15.4,38.4,18.7,≤5.0,23,≤5.0,10.2,24.9,22
Wheaton Woods ES,532,48.7,51.3,≤5.0,8.1,27.8,58.1,≤5.0,≤5.0,≤5.0,44.9,82.7,8.3
Whetstone ES,786,51.9,48.1,≤5.0,8.3,26,52.5,≤5.0,9.4,≤5.0,39.4,60.9,14.8
Wilson Wims ES,921,51.5,48.5,≤5.0,40.3,15.2,12.6,≤5.0,24.4,7.3,9.3,11.3,≤5.0
Wood Acres ES,660,52.6,47.4,≤5.0,11.7,≤5.0,10.9,≤5.0,67.3,6.7,8.9,≤5.0,7.1
Woodfield ES,283,48.8,51.2,≤5.0,5.3,11.3,20.1,≤5.0,57.2,6,≤5.0,20.8,18.7
Woodlin ES,589,51.3,48.7,≤5.0,6.8,25.8,20.9,≤5.0,37.5,8.5,16.6,23.3,14.3
Wyngate ES,755,51.3,48.7,≤5.0,8.6,≤5.0,10.7,≤5.0,68.5,8.2,7.2,≤5.0,6.9
Argyle MS,912,57.2,42.8,≤5.0,10.3,30.6,45.5,≤5.0,10,≤5.0,13.2,58.4,9.9
John T. Baker MS,813,49.3,50.7,≤5.0,5.8,9.3,20.5,≤5.0,58.3,5.5,≤5.0,19.1,14.6
Benjamin Banneker MS,863,52.4,47.6,≤5.0,12.1,62.3,16.1,≤5.0,5.6,≤5.0,≤5.0,51,10.8
Briggs Chaney MS,866,49.2,50.8,≤5.0,14.3,53.1,19.6,≤5.0,8.3,≤5.0,7.6,48.8,10.4
Cabin John MS,941,52.5,47.5,≤5.0,28.1,11.5,7.5,≤5.0,47.7,5.2,6.8,7.7,15.3
Roberto W. Clemente MS,1277,51.5,48.5,≤5.0,25.8,25,28.3,≤5.0,15.2,5.4,5.1,33.9,9.6
Eastern MS,905,44.8,55.2,≤5.0,13.7,17.3,40.4,≤5.0,24.1,≤5.0,17,46.3,8.6
William H. Farquhar MS,595,47.9,52.1,≤5.0,13.3,18.2,14.3,≤5.0,48.4,5.9,≤5.0,12.4,10.3
Forest Oak MS,804,50.1,49.9,≤5.0,7.5,28.4,46.9,≤5.0,13.3,≤5.0,16.3,58.6,13.3
Robert Frost MS,1112,52,48,≤5.0,34.6,≤5.0,6.8,≤5.0,48,5.2,≤5.0,5.8,5.7
Gaithersburg MS,752,56.4,43.6,≤5.0,8,21.9,44.1,≤5.0,21.1,≤5.0,13.7,47.7,17.7
Herbert Hoover MS,1038,51.8,48.2,≤5.0,30.9,6.5,5.4,≤5.0,50.7,6.3,≤5.0,≤5.0,10.7
Francis Scott Key MS,979,52.1,47.9,≤5.0,10.3,43,40.7,≤5.0,≤5.0,≤5.0,13,70.7,9.2
