school,Total,Male,Female,AM,AS,BL,HI,PI,WH,MU,ESOL,FARMS,SPED,Level,Year
Eastern MS,971,46.9,53.1,≤5.0,11.2,17,45.2,≤5.0,22.3,≤5.0,18.1,50.2,11.7,Middle School,2017-2018
William H. Farquhar MS,703,50.1,49.9,≤5.0,12.7,25.2,15.2,≤5.0,42.5,≤5.0,≤5.0,14.7,11.4,Middle School,2017-2018
Forest Oak MS,861,51.6,48.4,≤5.0,6.4,25.8,54.4,≤5.0,10.2,≤5.0,16.5,56.6,15.2,Middle School,2017-2018
Robert Frost MS,1083,49.0,51.0,≤5.0,38.6,8,7.8,≤5.0,40.7,≤5.0,≤5.0,5.9,6,Middle School,2017-2018
Gaithersburg MS,830,55.8,44.2,≤5.0,6.6,21.4,49,≤5.0,19.2,≤5.0,17.1,47,18.4,Middle School,2017-2018
Herbert Hoover MS,1006,50.7,49.3,≤5.0,33.7,7.4,6.6,≤5.0,47.7,≤5.0,≤5.0,≤5.0,8.4,Middle School,2017-2018
Francis Scott Key MS,996,51.5,48.5,≤5.0,9.7,45.1,39.1,≤5.0,≤5.0,≤5.0,15.1,63.1,8.8,Middle School,2017-2018
"Dr. Martin Luther King, Jr.  MS",596,46.5,53.5,≤5.0,9.6,38.3,32.6,≤5.0,14.3,5.4,9.2,48.3,9.7,Middle School,2017-2018
Kingsview MS,1029,50.1,49.9,≤5.0,26.1,24.1,14.3,≤5.0,29.8,5.4,≤5.0,19.6,8.8,Middle School,2017-2018
Lakelands Park MS,1103,48.8,51.2,≤5.0,16,15.2,22,≤5.0,41.9,≤5.0,5.4,22.8,11.3,Middle School,2017-2018
Col. E. Brooke Lee MS,757,50.9,49.1,≤5.0,7.5,25.8,60,≤5.0,≤5.0,≤5.0,17.8,66.8,14.8,Middle School,2017-2018
A. Mario Loiederman MS,944,32.9,67.1,≤5.0,5.7,17.8,61,≤5.0,12.3,≤5.0,19.8,58.9,10,Middle School,2017-2018
Montgomery Village MS,742,54.7,45.3,≤5.0,7,32.9,53,≤5.0,≤5.0,≤5.0,18.7,67.3,15.5,Middle School,2017-2018
Neelsville MS,922,51.2,48.8,≤5.0,9.4,33.1,48.7,≤5.0,6,≤5.0,17.5,63.4,10.1,Middle School,2017-2018
Newport Mill MS,626,51.0,49.0,≤5.0,8.6,15,49.5,≤5.0,20.8,5.4,16.8,47.4,20.9,Middle School,2017-2018
North Bethesda MS,1165,51.6,48.4,≤5.0,11.9,9.1,12.1,≤5.0,59.1,7.6,≤5.0,7,11.2,Middle School,2017-2018
Parkland MS,1000,57.6,42.4,≤5.0,16.1,22.6,47,≤5.0,10.8,≤5.0,10,55,7.4,Middle School,2017-2018
Rosa M. Parks MS,845,52.0,48.0,≤5.0,9.9,10.5,13.5,≤5.0,60.9,5.1,≤5.0,10.9,9.6,Middle School,2017-2018
John Poole MS,375,45.9,54.1,≤5.0,7.2,5.6,11.7,≤5.0,71.7,≤5.0,≤5.0,10.4,10.4,Middle School,2017-2018
Thomas W. Pyle MS,1485,51.4,48.6,≤5.0,13.3,≤5.0,10,≤5.0,65.7,7.6,≤5.0,≤5.0,6.9,Middle School,2017-2018
Redland MS,560,50.4,49.6,≤5.0,13.6,19.3,38,≤5.0,23.4,5.2,10.7,41.1,10.7,Middle School,2017-2018
Ridgeview MS,704,53.4,46.6,≤5.0,13.1,14.1,26.6,≤5.0,41.2,≤5.0,7.1,27.8,8,Middle School,2017-2018
Rocky Hill MS,804,48.8,51.2,≤5.0,27.4,24.5,16.7,≤5.0,24.9,6.6,≤5.0,21.9,9.7,Middle School,2017-2018
Shady Grove MS,614,52.4,47.6,≤5.0,11.2,21.3,41.7,≤5.0,21.7,≤5.0,9.9,43.2,13.7,Middle School,2017-2018
Silver Creek MS,549,51.4,48.6,≤5.0,6.6,21.5,17.3,≤5.0,48.5,5.8,7.8,24.4,9.7,Middle School,2017-2018
Silver Spring International MS,1082,51.5,48.5,≤5.0,5.9,22.4,40.3,≤5.0,27,≤5.0,13.2,41.2,13.2,Middle School,2017-2018
Sligo MS,724,50.6,49.4,≤5.0,7.5,19.5,42,≤5.0,26.8,≤5.0,12.2,40.9,11.9,Middle School,2017-2018
Takoma Park MS,1090,53.6,46.4,≤5.0,17.7,31.7,15.5,≤5.0,29.6,5.4,7.3,28.1,8.5,Middle School,2017-2018
Tilden MS,947,53.2,46.8,≤5.0,16.9,11.1,18.2,≤5.0,47.7,5.7,11.3,12.1,15.5,Middle School,2017-2018
Hallie Wells MS,752,48.8,51.2,≤5.0,34.6,20.3,13,≤5.0,24.9,7,≤5.0,17.2,9.2,Middle School,2017-2018
